"January 24th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"24th","1","1107","Muhammad Younas","123-456-7890","Winnipeg","Jalal","Single, ","With Box, ","2","185","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","185","","Pending","","23-01-2022","84","younas@netraclos.com"
"January 22nd, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"22nd","2","1106","Muhammad Younas","123-456-7890","Winnipeg","Orthopedic Classic","Single, ","","2","438","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","438","","Pending","","21-01-2022","199","younas@netraclos.com"
"22nd","3","1105","Muhammad Younas","123-456-7890","Winnipeg","Jalla","","","4","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","194","","Partially Done","","21-01-2022","44","younas@netraclos.com"
"22nd","4","1104","Muhammad Younas","123-456-7890","Winnipeg","Aloe Vera (8inch)","Single, ","","4","1096","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1096","","Pending","","21-01-2022","249","younas@netraclos.com"
"22nd","5","1103","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","4","3951","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","3951","","Pending","","21-01-2022","599","younas@netraclos.com"
"","","","","","","Dream Classic","Single, ","","4","","","","","","","","299",""
"22nd","6","1102","Muhammad Younas","123-456-7890","Winnipeg","Cf 2000","Single, ","","4","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","7036","","Done","","21-01-2022","1599","younas@netraclos.com"
"22nd","7","1101","Muhammad Younas","123-456-7890","Winnipeg","Jalal","Single, ","With Box, ","1","92","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","92","","Pending","","21-01-2022","84","younas@netraclos.com"
"January 21st, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"21st","8","1100","Muhammad Younas","123-456-7890","Winnipeg","Dream Classic","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","767","","Done","","20-01-2022","299","younas@netraclos.com"
"","","","","","","Orthopedic Classic","Single, ","","2","","","","","","","","199",""
"21st","9","1099","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","4","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","6156","","Done","","20-01-2022","1399","younas@netraclos.com"
"21st","10","1098","Muhammad Younas","123-456-7890","Winnipeg","Emperor Dream Black","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","15916","","Done","","20-01-2022","479","younas@netraclos.com"
"","","","","","","Cf 1000","Single, ","","10","","","","","","","","1399",""
"21st","11","1097","Muhammad Younas","123-456-7890","Winnipeg","Addison","Queen, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","879","","Done","","20-01-2022","799","younas@netraclos.com"
"21st","12","1096","Muhammad Younas","123-456-7890","Winnipeg","Jalal","Single, ","With Box, ","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","97","","Pending","","20-01-2022","44","younas@netraclos.com"
"","","","","","","Jalal","Single, ","Without Box, ","1","","","","","","","","44",""
"21st","13","1095","Muhammad Younas","123-456-7890","Winnipeg","Jalal","Single, ","With Box, ","1","48","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","48","","Pending","","20-01-2022","44","younas@netraclos.com"
"January 19th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"19th","14","1094","Muhammad Younas","123-456-7890","Winnipeg","Cf 1000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1539","","Done","","18-01-2022","1399","younas@netraclos.com"
"January 18th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"18th","15","1093","Muhammad Younas","123-456-7890","Winnipeg","Crown Series","Single, ","","1","18422","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","18422","","Pending","","19-01-2022","599","younas@netraclos.com"
"","","","","","","Cf 4000 Firm Plush","Double, ","","4","","","","","","","","2349",""
"","","","","","","Beachrest","Single, ","","4","","","","","","","","189",""
"","","","","","","Harmony Lux Pillowtop Medium-carbon Series","Queen, ","","4","","","","","","","","1499",""
"18th","16","1092","Muhammad Younas","123-456-7890","Winnipeg","Orthopedic Classic","Single, ","","2","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","18909","","Partially Done","","17-01-2022","199","younas@netraclos.com"
"","","","","","","Starry Night Plush","Double, ","","4","","","","","","","","1899",""
"","","","","","","Black Hayward Plush-black Series","Queen, ","","4","","","","","","","","2299",""
"18th","17","1091","Muhammad Younas","123-456-7890","Winnipeg","Harmony Lux Tight Top Firm-carbon Series","Single, ","","5","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","15556","","Done","","17-01-2022","1199","younas@netraclos.com"
"","","","","","","Spine Comfort Plush","Single, ","","3","","","","","","","","499",""
"","","","","","","Leisure Sleep","King, ","","6","","","","","","","","900",""
"","","","","","","Studio","Single, ","","5","","","","","","","","250",""
"18th","18","1090","Muhammad Younas","123-456-7890","Winnipeg","Harmony Lux Tight Top Firm-carbon Series","Single, ","","4","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","17128","","Done","","19-01-2022","1249","younas@netraclos.com"
"","","","","","","Spine Comfort Plush","Queen, ","","5","","","","","","","","599",""
"","","","","","","Leisure Sleep","Double, ","","9","","","","","","","","700",""
"","","","","","","Studio","Double, ","","4","","","","","","","","320",""
"18th","19","1089","Muhammad Younas","123-456-7890","Winnipeg","Harmony Lux Tight Top Firm-carbon Series","Single, ","","4","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","13770","","Partially Done","","27-01-2022","1199","younas@netraclos.com"
"","","","","","","Spine Comfort Firm","Double, ","","5","","","","","","","","549",""
"","","","","","","Leisure Sleep","Queen, ","","4","","","","","","","","800",""
"","","","","","","Studio","King, ","","3","","","","","","","","600",""
"January 17th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"17th","20","1088","Muhammad Younas","123-456-7890","Winnipeg","Cf 2000","Single, ","","1","0","2427 Mountain Ave, Winnipeg, MB R2X 3A1, Canada","1755","","Done","","16-01-2022","1599","younas@netraclos.com"
"January 11th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
"January 10th, 2022","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Date","No.","Order No.","Customer Name","PH#","City","Product","Size","Mattress Box","Mattress","Amt on","Address","Total","Customer Notes","Status","Extra info","Delivery Date","Bifercated Prices","Email ID"
